Date,Story,Annotation,Annotation in Portuguese,Platform,Overall engagement,Engagement normalised per platform,Engagement positively normalised per platform,Post in Portuguese,Post in English,Theme,Sub-theme,Detailed status as of January 18,Summarised status,Appendix,URL
2023-01-04 15:41:02,Story 2,"A video of General Rocha Paiva circulates in which he says that if the “people” go to the “National Congress and the STF, they could be sure that “when the moment of truth comes, the armed forces [would] take action.”","Circula um vídeo do general Rocha Paiva em que ele diz que se o “povo” for ao “Congresso Nacional e ao STF, poderá ter certeza de que “quando chegar a hora da verdade, as Forças Armadas [irão] agir”.",Telegram,15782,0.63,43358.76,"💪 Pessoal, deixo-lhes este áudio sensacional com instruções de ALTO NÍVEL do General Rocha Paiva

Teremos uma longa estrada pela frente para que possamos defender de VERDADE nossa soberania das agendas desta nova ordem mundial e nos livrar desta DITADURA socialista que se anuncia para o nosso país _ Quanto mais preparada e bem informada a tropa JEDI estiver, mais eficiente e certeira será nossa conduta no campo de batalha!

É SELVA _ Mas com estratégia e muita lucidez !!! 🇧🇷🫡🫡

https://youtu.be/Vj2w-14Kz_E","💪 People, I leave them this sensational audio with high-level instructions from General Rocha Paiva

We will have a long road ahead so that we can truly defend our sovereignty of the agendas of this new world order and get rid of this socialist dictatorship that is announced to our country - the more prepared and well informed the Jedi troop is, the more efficient and right will be Our conduct on the battlefield!

It's jungle _ but with strategy and a lot of lucidity !!! 🇧🇷🫡🫡

https://youtu.be/vj2w-14kz_e",Calls to join the January 8 riots,Military support,Unknown,Private user or post,https://drive.google.com/file/d/1JmhDOyJ1OS_BNBnE2AA9jDioUuWeygnY/view?usp=sharing,
2023-01-04 15:41:02,,,,Telegram,15949,0.65,43358.77,"💪 Pessoal, deixo-lhes este áudio sensacional com instruções de ALTO NÍVEL do General Rocha Paiva

Teremos uma longa estrada pela frente para que possamos defender de VERDADE nossa soberania das agendas desta nova ordem mundial e nos livrar desta DITADURA socialista que se anuncia para o nosso país _ Quanto mais preparada e bem informada a tropa JEDI estiver, mais eficiente e certeira será nossa conduta no campo de batalha!

É SELVA _ Mas com estratégia e muita lucidez !!! 🇧🇷🫡🫡

https://youtu.be/Vj2w-14Kz_E","💪 People, I leave them this sensational audio with high-level instructions from General Rocha Paiva

We will have a long road ahead so that we can truly defend our sovereignty of the agendas of this new world order and get rid of this socialist dictatorship that is announced to our country - the more prepared and well informed the Jedi troop is, the more efficient and right will be Our conduct on the battlefield!

It's jungle _ but with strategy and a lot of lucidity !!! 🇧🇷🫡🫡

https://youtu.be/vj2w-14kz_e",Calls to join the January 8 riots,Military support,Removed by the user,Removed by the user,https://drive.google.com/file/d/1JmhDOyJ1OS_BNBnE2AA9jDioUuWeygnY/view?usp=sharing,https://t.me/institutovivagreta/11182
2023-01-04 15:41:02,,,,Telegram,15949,0.65,43358.77,"💪 Pessoal, deixo-lhes este áudio sensacional com instruções de ALTO NÍVEL do General Rocha Paiva

Teremos uma longa estrada pela frente para que possamos defender de VERDADE nossa soberania das agendas desta nova ordem mundial e nos livrar desta DITADURA socialista que se anuncia para o nosso país _ Quanto mais preparada e bem informada a tropa JEDI estiver, mais eficiente e certeira será nossa conduta no campo de batalha!

É SELVA _ Mas com estratégia e muita lucidez !!! 🇧🇷🫡🫡

https://youtu.be/Vj2w-14Kz_E","💪 People, I leave them this sensational audio with high-level instructions from General Rocha Paiva

We will have a long road ahead so that we can truly defend our sovereignty of the agendas of this new world order and get rid of this socialist dictatorship that is announced to our country - the more prepared and well informed the Jedi troop is, the more efficient and right will be Our conduct on the battlefield!

It's jungle _ but with strategy and a lot of lucidity !!! 🇧🇷🫡🫡

https://youtu.be/vj2w-14kz_e",Calls to join the January 8 riots,Military support,Unknown,Private user or post,https://drive.google.com/file/d/1JmhDOyJ1OS_BNBnE2AA9jDioUuWeygnY/view?usp=sharing,
2023-01-04 05:16:05,Story 2,"After Lula’s inauguration, some military personnel began actively participating in coup movements, including the January 8 attack. A paratrooper confirmed that many in the ranks were ‘revolted,’ and that despite the presence of some ‘watermelon generals,’ this revolt would be ‘too big’ to contain. Others, like the man quoted below, interpreted General Mourão’s speech as signaling that ‘the problem is in the hands of the armed forces’ — that it would fall to them to act in what he described as a state of ‘war’ between the executive, legislative, and judiciary.","Após a posse de Lula, alguns militares passaram a participar ativamente de movimentos golpistas, incluindo o atentado de 8 de janeiro. Um paraquedista confirmou que muitos militares estavam ""revoltados"" e que, apesar da presença de alguns ""generais melancia"", essa revolta seria ""grande demais"" para ser contida. Outros, como o homem citado abaixo, interpretaram o discurso do General Mourão como um sinal de que ""o problema está nas mãos das Forças Armadas"" — que caberia a elas agir no que ele descreveu como um estado de ""guerra"" entre os poderes Executivo, Legislativo e Judiciário.",Telegram,11650,0.28,43358.41,"OLHEM OQUE ESSE MILITAR FALOU!

TODOS DENTRO DA CAZERNA ESTÃO REVOLTADOS!

ACREDITO QUE O EXÉRCITO SÓ ESTÁ PRECISANDO DE UM EMPURRÃOZINHO PARA EXPLODIR TUDO!

PARA SABER MAIS ENTREM NO NOSSO CANAL DO TELEGRAM @PATRIONEWS","Look at what this military said!

Everyone inside the Cazerna is angry!

I believe the army is just in need of a little push to explode everything!

To learn more enter our Telegram @patrionews channel",Calls to join the January 8 riots,Military support,Removed by the user,Removed by the user,https://drive.google.com/file/d/1Wx_RKhu46Lx7wfC7t1IFSDbzEiC8odfg/view?usp=sharing,
2023-01-07 13:00:36,Story 1,"Ana Priscila Azevedo, who had been co-organising the riots on Telegram, is quoted again on Twitter for wider calls to action. Her account on Twitter is blocked, but users could still access it on a VPN. ","Ana Priscila Azevedo, que coorganizava os protestos no Telegram, é citada novamente no Twitter por seus chamados mais amplos à ação. Sua conta no Twitter está bloqueada, mas os usuários ainda podem acessá-la por VPN.",Twitter,264,,,"ANA PRISCILA AZEVEDO 6422:
https://t.co/eHUu0ORSOe

 *SENHORES,  O CANAL DA RESISTÊNCIA CIVIL SOSFFAA FOI DERRUBADO PELA FOICE DO TSE AGORA HÁ POUCO.* 
*REFINARIAS E* *DISTRIBUIDORAS ESTÃO SENDO FECHADAS EM TODO* *BRASIL E MILHARES DE ÔNIBUS ESTÃO IDO PRA BRASÍLIA!","ANA PRISCILA AZEVEDO 6422:
https://t.co/eHUu0ORSOe

*GENTLEMEN, THE CIVIL RESISTANCE CHANNEL SOSFFAA WAS JUST BROUGHT DOWN BY THE TSE'S SICKLE.* 
*REFINERIES AND* *DISTRIBUTORS ARE BEING CLOSED ALL OVER BRAZIL AND THOUSANDS OF BUSES ARE GOING TO BRASILIA!",Calls to join the January 8 riots,,Online,Online,,https://twitter.com/anyuser/status/1611709384740188160
2023-01-03 15:52:21,,,,Telegram,23020,1.25,43359.38,"Acho que já temos que partir pro plano B, para fazer o A se mexer.

Revolução popular 😉

✅ Sigam nosso canal @nocentrodopoder e fiquem por dentro dos bastidores da política.","I think we already have to go to Plan B, to make the to move.

Popular Revolution 😉

✅ Follow our @nocentrodopoder channel and stay on the backstage of politics.",Calls to join the January 8 riots,,Removed by the user,Removed by the user,,
2023-01-03 16:03:29,,,,Telegram,0,-0.71,43357.41,Pois bora pro plano b,Because let's go to the plane b,Calls to join the January 8 riots,,Unknown,Private user or post,,https://t.me//62463
2023-01-03 16:26:35,,,,Telegram,23243,1.27,43359.40,"Acho que já temos que partir pro plano B, para fazer o A se mexer.

Revolução popular 😉

✅ Sigam nosso canal @nocentrodopoder e fiquem por dentro dos bastidores da política.","I think we already have to go to Plan B, to make the to move.

Popular Revolution 😉

✅ Follow our @nocentrodopoder channel and stay on the backstage of politics.",Calls to join the January 8 riots,,Unknown,Private user or post,,https://t.me/Manuarcanjo/62504
2023-01-03 16:26:35,,,,Telegram,23243,1.27,43359.40,"Acho que já temos que partir pro plano B, para fazer o A se mexer.

Revolução popular 😉

✅ Sigam nosso canal @nocentrodopoder e fiquem por dentro dos bastidores da política.","I think we already have to go to Plan B, to make the to move.

Popular Revolution 😉

✅ Follow our @nocentrodopoder channel and stay on the backstage of politics.",Calls to join the January 8 riots,,Removed by the user,Removed by the user,,
2023-01-03 16:32:09,,,,Telegram,0,-0.71,43357.41,Eu opto pelo plano B,I opt for plan B,Calls to join the January 8 riots,Planning the riots,Unknown,Private user or post,,https://t.me/brprado/62510
